Time: 1667405520, number of blocks: 11, average latency: 11.00, average tps: 345.82, average Mbps: 2.24 
Time: 1667405525, number of blocks: 21, average latency: 9.00, average tps: 404.11, average Mbps: 2.62 
Time: 1667405532, number of blocks: 33, average latency: 9.00, average tps: 492.22, average Mbps: 3.19 
Time: 1667405543, number of blocks: 54, average latency: 8.00, average tps: 1554.88, average Mbps: 10.08 
Time: 1667405548, number of blocks: 55, average latency: 13.00, average tps: 548.31, average Mbps: 3.56 
Time: 1667405553, number of blocks: 52, average latency: 11.00, average tps: 290.64, average Mbps: 1.88 
Time: 1667405559, number of blocks: 52, average latency: 9.00, average tps: 278.44, average Mbps: 1.81 
Time: 1667405564, number of blocks: 52, average latency: 9.00, average tps: 278.44, average Mbps: 1.81 
Time: 1667405569, number of blocks: 53, average latency: 9.00, average tps: 290.67, average Mbps: 1.88 
Time: 1667405574, number of blocks: 54, average latency: 9.00, average tps: 287.22, average Mbps: 1.86 
Time: 1667405579, number of blocks: 53, average latency: 9.00, average tps: 287.22, average Mbps: 1.86 
Time: 1667405584, number of blocks: 56, average latency: 9.00, average tps: 259.11, average Mbps: 1.68 
Time: 1667405589, number of blocks: 56, average latency: 9.00, average tps: 259.11, average Mbps: 1.68 
Time: 1667405594, number of blocks: 54, average latency: 9.00, average tps: 222.78, average Mbps: 1.44 
Time: 1667405599, number of blocks: 51, average latency: 8.00, average tps: 324.00, average Mbps: 2.10 
Time: 1667405604, number of blocks: 57, average latency: 9.00, average tps: 287.56, average Mbps: 1.86 
Time: 1667405609, number of blocks: 49, average latency: 8.00, average tps: 369.00, average Mbps: 2.39 
Time: 1667405616, number of blocks: 56, average latency: 9.00, average tps: 390.11, average Mbps: 2.53 
Time: 1667405622, number of blocks: 61, average latency: 8.00, average tps: 494.38, average Mbps: 3.21 
Time: 1667405627, number of blocks: 52, average latency: 10.00, average tps: 228.00, average Mbps: 1.48 
Time: 1667405634, number of blocks: 59, average latency: 9.00, average tps: 263.33, average Mbps: 1.71 
Time: 1667405639, number of blocks: 59, average latency: 9.00, average tps: 263.33, average Mbps: 1.71 
Time: 1667405644, number of blocks: 54, average latency: 8.00, average tps: 545.50, average Mbps: 3.54 
Time: 1667405649, number of blocks: 56, average latency: 8.00, average tps: 572.88, average Mbps: 3.71 
Time: 1667405656, number of blocks: 64, average latency: 9.00, average tps: 1179.22, average Mbps: 7.65 
Time: 1667405661, number of blocks: 52, average latency: 10.00, average tps: 463.10, average Mbps: 3.00 
Time: 1667405670, number of blocks: 55, average latency: 9.00, average tps: 819.89, average Mbps: 5.32 
Time: 1667405677, number of blocks: 53, average latency: 11.00, average tps: 922.91, average Mbps: 5.98 
Time: 1667405682, number of blocks: 57, average latency: 11.00, average tps: 444.00, average Mbps: 2.88 
Time: 1667405690, number of blocks: 56, average latency: 10.00, average tps: 560.10, average Mbps: 3.63 
Time: 1667405695, number of blocks: 52, average latency: 10.00, average tps: 467.30, average Mbps: 3.03 
Time: 1667405700, number of blocks: 54, average latency: 8.00, average tps: 448.00, average Mbps: 2.90 
Time: 1667405707, number of blocks: 53, average latency: 10.00, average tps: 314.20, average Mbps: 2.04 
Time: 1667405713, number of blocks: 57, average latency: 9.00, average tps: 437.33, average Mbps: 2.84 
Time: 1667405719, number of blocks: 52, average latency: 9.00, average tps: 309.56, average Mbps: 2.01 
Time: 1667405725, number of blocks: 63, average latency: 9.00, average tps: 289.44, average Mbps: 1.88 
Time: 1667405730, number of blocks: 63, average latency: 9.00, average tps: 289.44, average Mbps: 1.88 
Time: 1667405735, number of blocks: 48, average latency: 9.00, average tps: 286.22, average Mbps: 1.86 
Time: 1667405740, number of blocks: 50, average latency: 9.00, average tps: 285.67, average Mbps: 1.85 
Time: 1667405745, number of blocks: 56, average latency: 9.00, average tps: 285.11, average Mbps: 1.85 
Time: 1667405750, number of blocks: 53, average latency: 8.00, average tps: 320.88, average Mbps: 2.08 
Time: 1667405755, number of blocks: 53, average latency: 8.00, average tps: 320.88, average Mbps: 2.08 
Time: 1667405760, number of blocks: 56, average latency: 8.00, average tps: 319.25, average Mbps: 2.07 
Time: 1667405765, number of blocks: 56, average latency: 9.00, average tps: 428.00, average Mbps: 2.78 
Time: 1667405770, number of blocks: 52, average latency: 9.00, average tps: 310.56, average Mbps: 2.01 
Time: 1667405775, number of blocks: 52, average latency: 9.00, average tps: 204.67, average Mbps: 1.33 
Time: 1667405781, number of blocks: 51, average latency: 8.00, average tps: 310.88, average Mbps: 2.02 
Time: 1667405787, number of blocks: 60, average latency: 9.00, average tps: 284.67, average Mbps: 1.85 
Time: 1667405794, number of blocks: 52, average latency: 9.00, average tps: 284.56, average Mbps: 1.85 
Time: 1667405799, number of blocks: 52, average latency: 9.00, average tps: 284.56, average Mbps: 1.85 
