Time: 1667323161, number of blocks: 23, average latency: 10.00, average tps: 402.10, average Mbps: 2.61 
Time: 1667323166, number of blocks: 16, average latency: 8.00, average tps: 427.00, average Mbps: 2.77 
Time: 1667323173, number of blocks: 19, average latency: 9.00, average tps: 495.11, average Mbps: 3.21 
Time: 1667323183, number of blocks: 21, average latency: 8.00, average tps: 1349.25, average Mbps: 8.75 
Time: 1667323188, number of blocks: 22, average latency: 13.00, average tps: 629.85, average Mbps: 4.08 
Time: 1667323193, number of blocks: 20, average latency: 12.00, average tps: 283.08, average Mbps: 1.84 
Time: 1667323198, number of blocks: 20, average latency: 9.00, average tps: 247.44, average Mbps: 1.60 
Time: 1667323204, number of blocks: 20, average latency: 9.00, average tps: 280.33, average Mbps: 1.82 
Time: 1667323210, number of blocks: 15, average latency: 9.00, average tps: 279.67, average Mbps: 1.81 
Time: 1667323216, number of blocks: 21, average latency: 9.00, average tps: 281.67, average Mbps: 1.83 
Time: 1667323222, number of blocks: 21, average latency: 9.00, average tps: 271.44, average Mbps: 1.76 
Time: 1667323228, number of blocks: 15, average latency: 9.00, average tps: 195.67, average Mbps: 1.27 
Time: 1667323233, number of blocks: 15, average latency: 9.00, average tps: 195.67, average Mbps: 1.27 
Time: 1667323238, number of blocks: 20, average latency: 9.00, average tps: 280.22, average Mbps: 1.82 
Time: 1667323243, number of blocks: 18, average latency: 8.00, average tps: 313.12, average Mbps: 2.03 
Time: 1667323248, number of blocks: 22, average latency: 8.00, average tps: 315.50, average Mbps: 2.05 
Time: 1667323253, number of blocks: 18, average latency: 8.00, average tps: 475.25, average Mbps: 3.08 
Time: 1667323259, number of blocks: 20, average latency: 8.00, average tps: 415.25, average Mbps: 2.69 
Time: 1667323265, number of blocks: 17, average latency: 9.00, average tps: 336.56, average Mbps: 2.18 
Time: 1667323271, number of blocks: 15, average latency: 8.00, average tps: 257.12, average Mbps: 1.67 
Time: 1667323277, number of blocks: 19, average latency: 8.00, average tps: 447.62, average Mbps: 2.90 
Time: 1667323284, number of blocks: 18, average latency: 8.00, average tps: 558.88, average Mbps: 3.62 
Time: 1667323292, number of blocks: 18, average latency: 8.00, average tps: 1109.62, average Mbps: 7.20 
Time: 1667323297, number of blocks: 16, average latency: 10.00, average tps: 599.00, average Mbps: 3.88 
Time: 1667323303, number of blocks: 20, average latency: 10.00, average tps: 505.20, average Mbps: 3.28 
Time: 1667323311, number of blocks: 18, average latency: 8.00, average tps: 1066.62, average Mbps: 6.92 
Time: 1667323316, number of blocks: 18, average latency: 11.00, average tps: 526.36, average Mbps: 3.41 
Time: 1667323321, number of blocks: 19, average latency: 9.00, average tps: 530.89, average Mbps: 3.44 
Time: 1667323328, number of blocks: 18, average latency: 9.00, average tps: 539.44, average Mbps: 3.50 
Time: 1667323333, number of blocks: 22, average latency: 9.00, average tps: 366.44, average Mbps: 2.38 
Time: 1667323339, number of blocks: 20, average latency: 8.00, average tps: 467.00, average Mbps: 3.03 
Time: 1667323345, number of blocks: 17, average latency: 9.00, average tps: 299.56, average Mbps: 1.94 
Time: 1667323350, number of blocks: 17, average latency: 9.00, average tps: 299.56, average Mbps: 1.94 
Time: 1667323355, number of blocks: 17, average latency: 8.00, average tps: 497.38, average Mbps: 3.23 
Time: 1667323360, number of blocks: 21, average latency: 8.00, average tps: 323.25, average Mbps: 2.10 
Time: 1667323365, number of blocks: 17, average latency: 8.00, average tps: 315.50, average Mbps: 2.05 
Time: 1667323370, number of blocks: 15, average latency: 9.00, average tps: 277.67, average Mbps: 1.80 
Time: 1667323375, number of blocks: 20, average latency: 9.00, average tps: 281.44, average Mbps: 1.82 
Time: 1667323381, number of blocks: 18, average latency: 9.00, average tps: 280.56, average Mbps: 1.82 
Time: 1667323387, number of blocks: 17, average latency: 9.00, average tps: 280.78, average Mbps: 1.82 
Time: 1667323393, number of blocks: 17, average latency: 9.00, average tps: 278.67, average Mbps: 1.81 
Time: 1667323400, number of blocks: 18, average latency: 8.00, average tps: 476.50, average Mbps: 3.09 
Time: 1667323405, number of blocks: 16, average latency: 9.00, average tps: 298.67, average Mbps: 1.94 
Time: 1667323411, number of blocks: 22, average latency: 9.00, average tps: 200.89, average Mbps: 1.30 
Time: 1667323416, number of blocks: 22, average latency: 9.00, average tps: 200.89, average Mbps: 1.30 
Time: 1667323421, number of blocks: 19, average latency: 8.00, average tps: 301.62, average Mbps: 1.96 
Time: 1667323426, number of blocks: 22, average latency: 8.00, average tps: 312.88, average Mbps: 2.03 
Time: 1667323431, number of blocks: 22, average latency: 8.00, average tps: 312.25, average Mbps: 2.02 
Time: 1667323436, number of blocks: 20, average latency: 8.00, average tps: 313.50, average Mbps: 2.03 
Time: 1667323442, number of blocks: 15, average latency: 8.00, average tps: 322.25, average Mbps: 2.09 
