Time: 1667405520, number of blocks: 11, average latency: 15.00, average tps: 253.60, average Mbps: 1.64 
Time: 1667405525, number of blocks: 21, average latency: 12.00, average tps: 303.08, average Mbps: 1.97 
Time: 1667405532, number of blocks: 33, average latency: 13.00, average tps: 340.77, average Mbps: 2.21 
Time: 1667405543, number of blocks: 54, average latency: 16.00, average tps: 777.44, average Mbps: 5.04 
Time: 1667405548, number of blocks: 55, average latency: 18.00, average tps: 396.00, average Mbps: 2.57 
Time: 1667405553, number of blocks: 52, average latency: 14.00, average tps: 228.36, average Mbps: 1.48 
Time: 1667405559, number of blocks: 52, average latency: 13.00, average tps: 192.77, average Mbps: 1.25 
Time: 1667405564, number of blocks: 52, average latency: 13.00, average tps: 192.77, average Mbps: 1.25 
Time: 1667405569, number of blocks: 53, average latency: 13.00, average tps: 201.23, average Mbps: 1.30 
Time: 1667405574, number of blocks: 54, average latency: 13.00, average tps: 198.85, average Mbps: 1.29 
Time: 1667405579, number of blocks: 53, average latency: 12.00, average tps: 215.42, average Mbps: 1.40 
Time: 1667405584, number of blocks: 56, average latency: 13.00, average tps: 179.38, average Mbps: 1.16 
Time: 1667405589, number of blocks: 56, average latency: 13.00, average tps: 179.38, average Mbps: 1.16 
Time: 1667405594, number of blocks: 54, average latency: 13.00, average tps: 154.23, average Mbps: 1.00 
Time: 1667405599, number of blocks: 51, average latency: 12.00, average tps: 216.00, average Mbps: 1.40 
Time: 1667405604, number of blocks: 57, average latency: 12.00, average tps: 215.67, average Mbps: 1.40 
Time: 1667405609, number of blocks: 49, average latency: 12.00, average tps: 246.00, average Mbps: 1.60 
Time: 1667405616, number of blocks: 56, average latency: 14.00, average tps: 250.79, average Mbps: 1.63 
Time: 1667405622, number of blocks: 61, average latency: 12.00, average tps: 329.58, average Mbps: 2.14 
Time: 1667405627, number of blocks: 52, average latency: 13.00, average tps: 175.38, average Mbps: 1.14 
Time: 1667405634, number of blocks: 59, average latency: 12.00, average tps: 197.50, average Mbps: 1.28 
Time: 1667405639, number of blocks: 59, average latency: 12.00, average tps: 197.50, average Mbps: 1.28 
Time: 1667405644, number of blocks: 54, average latency: 13.00, average tps: 335.69, average Mbps: 2.18 
Time: 1667405649, number of blocks: 56, average latency: 13.00, average tps: 352.54, average Mbps: 2.29 
Time: 1667405656, number of blocks: 64, average latency: 16.00, average tps: 663.31, average Mbps: 4.30 
Time: 1667405661, number of blocks: 52, average latency: 15.00, average tps: 308.73, average Mbps: 2.00 
Time: 1667405670, number of blocks: 55, average latency: 15.00, average tps: 491.93, average Mbps: 3.19 
Time: 1667405677, number of blocks: 53, average latency: 18.00, average tps: 564.00, average Mbps: 3.66 
Time: 1667405682, number of blocks: 57, average latency: 16.00, average tps: 305.25, average Mbps: 1.98 
Time: 1667405690, number of blocks: 56, average latency: 15.00, average tps: 373.40, average Mbps: 2.42 
Time: 1667405695, number of blocks: 52, average latency: 15.00, average tps: 311.53, average Mbps: 2.02 
Time: 1667405700, number of blocks: 54, average latency: 12.00, average tps: 298.67, average Mbps: 1.94 
Time: 1667405707, number of blocks: 53, average latency: 14.00, average tps: 224.43, average Mbps: 1.46 
Time: 1667405713, number of blocks: 57, average latency: 13.00, average tps: 302.77, average Mbps: 1.96 
Time: 1667405719, number of blocks: 52, average latency: 13.00, average tps: 214.31, average Mbps: 1.39 
Time: 1667405725, number of blocks: 63, average latency: 13.00, average tps: 200.38, average Mbps: 1.30 
Time: 1667405730, number of blocks: 63, average latency: 13.00, average tps: 200.38, average Mbps: 1.30 
Time: 1667405735, number of blocks: 48, average latency: 12.00, average tps: 214.67, average Mbps: 1.39 
Time: 1667405740, number of blocks: 50, average latency: 12.00, average tps: 214.25, average Mbps: 1.39 
Time: 1667405745, number of blocks: 56, average latency: 13.00, average tps: 197.38, average Mbps: 1.28 
Time: 1667405750, number of blocks: 53, average latency: 12.00, average tps: 213.92, average Mbps: 1.39 
Time: 1667405755, number of blocks: 53, average latency: 12.00, average tps: 213.92, average Mbps: 1.39 
Time: 1667405760, number of blocks: 56, average latency: 12.00, average tps: 212.83, average Mbps: 1.38 
Time: 1667405765, number of blocks: 56, average latency: 13.00, average tps: 296.31, average Mbps: 1.92 
Time: 1667405770, number of blocks: 52, average latency: 13.00, average tps: 215.00, average Mbps: 1.39 
Time: 1667405775, number of blocks: 52, average latency: 12.00, average tps: 153.50, average Mbps: 1.00 
Time: 1667405781, number of blocks: 51, average latency: 12.00, average tps: 207.25, average Mbps: 1.34 
Time: 1667405787, number of blocks: 60, average latency: 12.00, average tps: 213.50, average Mbps: 1.38 
Time: 1667405794, number of blocks: 52, average latency: 12.00, average tps: 213.42, average Mbps: 1.38 
Time: 1667405799, number of blocks: 52, average latency: 12.00, average tps: 213.42, average Mbps: 1.38 
