Time: 1667323161, number of blocks: 23, average latency: 14.00, average tps: 287.21, average Mbps: 1.86 
Time: 1667323166, number of blocks: 16, average latency: 12.00, average tps: 284.67, average Mbps: 1.85 
Time: 1667323173, number of blocks: 19, average latency: 13.00, average tps: 342.77, average Mbps: 2.22 
Time: 1667323183, number of blocks: 21, average latency: 15.00, average tps: 719.60, average Mbps: 4.67 
Time: 1667323188, number of blocks: 22, average latency: 18.00, average tps: 454.89, average Mbps: 2.95 
Time: 1667323193, number of blocks: 20, average latency: 15.00, average tps: 226.47, average Mbps: 1.47 
Time: 1667323198, number of blocks: 20, average latency: 12.00, average tps: 185.58, average Mbps: 1.20 
Time: 1667323204, number of blocks: 20, average latency: 12.00, average tps: 210.25, average Mbps: 1.36 
Time: 1667323210, number of blocks: 15, average latency: 12.00, average tps: 209.75, average Mbps: 1.36 
Time: 1667323216, number of blocks: 21, average latency: 12.00, average tps: 211.25, average Mbps: 1.37 
Time: 1667323222, number of blocks: 21, average latency: 12.00, average tps: 203.58, average Mbps: 1.32 
Time: 1667323228, number of blocks: 15, average latency: 12.00, average tps: 146.75, average Mbps: 0.95 
Time: 1667323233, number of blocks: 15, average latency: 12.00, average tps: 146.75, average Mbps: 0.95 
Time: 1667323238, number of blocks: 20, average latency: 12.00, average tps: 210.17, average Mbps: 1.36 
Time: 1667323243, number of blocks: 18, average latency: 11.00, average tps: 227.73, average Mbps: 1.48 
Time: 1667323248, number of blocks: 22, average latency: 11.00, average tps: 229.45, average Mbps: 1.49 
Time: 1667323253, number of blocks: 18, average latency: 12.00, average tps: 316.83, average Mbps: 2.05 
Time: 1667323259, number of blocks: 20, average latency: 12.00, average tps: 276.83, average Mbps: 1.80 
Time: 1667323265, number of blocks: 17, average latency: 13.00, average tps: 233.00, average Mbps: 1.51 
Time: 1667323271, number of blocks: 15, average latency: 11.00, average tps: 187.00, average Mbps: 1.21 
Time: 1667323277, number of blocks: 19, average latency: 12.00, average tps: 298.42, average Mbps: 1.94 
Time: 1667323284, number of blocks: 18, average latency: 13.00, average tps: 343.92, average Mbps: 2.23 
Time: 1667323292, number of blocks: 18, average latency: 14.00, average tps: 634.07, average Mbps: 4.11 
Time: 1667323297, number of blocks: 16, average latency: 15.00, average tps: 399.33, average Mbps: 2.59 
Time: 1667323303, number of blocks: 20, average latency: 15.00, average tps: 336.80, average Mbps: 2.18 
Time: 1667323311, number of blocks: 18, average latency: 15.00, average tps: 568.87, average Mbps: 3.69 
Time: 1667323316, number of blocks: 18, average latency: 16.00, average tps: 361.88, average Mbps: 2.35 
Time: 1667323321, number of blocks: 19, average latency: 13.00, average tps: 367.54, average Mbps: 2.38 
Time: 1667323328, number of blocks: 18, average latency: 14.00, average tps: 346.79, average Mbps: 2.25 
Time: 1667323333, number of blocks: 22, average latency: 13.00, average tps: 253.69, average Mbps: 1.65 
Time: 1667323339, number of blocks: 20, average latency: 12.00, average tps: 311.33, average Mbps: 2.02 
Time: 1667323345, number of blocks: 17, average latency: 12.00, average tps: 224.67, average Mbps: 1.46 
Time: 1667323350, number of blocks: 17, average latency: 12.00, average tps: 224.67, average Mbps: 1.46 
Time: 1667323355, number of blocks: 17, average latency: 12.00, average tps: 331.58, average Mbps: 2.15 
Time: 1667323360, number of blocks: 21, average latency: 12.00, average tps: 215.50, average Mbps: 1.40 
Time: 1667323365, number of blocks: 17, average latency: 11.00, average tps: 229.45, average Mbps: 1.49 
Time: 1667323370, number of blocks: 15, average latency: 12.00, average tps: 208.25, average Mbps: 1.35 
Time: 1667323375, number of blocks: 20, average latency: 12.00, average tps: 211.08, average Mbps: 1.37 
Time: 1667323381, number of blocks: 18, average latency: 12.00, average tps: 210.42, average Mbps: 1.36 
Time: 1667323387, number of blocks: 17, average latency: 12.00, average tps: 210.58, average Mbps: 1.37 
Time: 1667323393, number of blocks: 17, average latency: 12.00, average tps: 209.00, average Mbps: 1.36 
Time: 1667323400, number of blocks: 18, average latency: 12.00, average tps: 317.67, average Mbps: 2.06 
Time: 1667323405, number of blocks: 16, average latency: 12.00, average tps: 224.00, average Mbps: 1.45 
Time: 1667323411, number of blocks: 22, average latency: 12.00, average tps: 150.67, average Mbps: 0.98 
Time: 1667323416, number of blocks: 22, average latency: 12.00, average tps: 150.67, average Mbps: 0.98 
Time: 1667323421, number of blocks: 19, average latency: 11.00, average tps: 219.36, average Mbps: 1.42 
Time: 1667323426, number of blocks: 22, average latency: 11.00, average tps: 227.55, average Mbps: 1.48 
Time: 1667323431, number of blocks: 22, average latency: 11.00, average tps: 227.09, average Mbps: 1.47 
Time: 1667323436, number of blocks: 20, average latency: 11.00, average tps: 228.00, average Mbps: 1.48 
Time: 1667323442, number of blocks: 15, average latency: 12.00, average tps: 214.83, average Mbps: 1.39 
